uid,decimalLongitude,decimalLatitude,Source,NPres
1,170,-40,CHR,1
2,170,-40,CHR,1
3,170,-40,NVS,1
4,170,-40,AK,1
5,170,-40,AK,1
6,170,-40,NVS,1
7,170,-40,NVS,1
8,170,-40,NVS,1
9,170,-40,NVS,1
10,170,-40,iNaturalist,1
11,170,-40,iNaturalist,1
12,170,-40,iNaturalist,1
13,170,-40,iNaturalist,1
14,170,-40,iNaturalist,1
15,170,-40,iNaturalist,1
16,170,-40,iNaturalist,1
17,170,-40,iNaturalist,1
18,170,-40,iNaturalist,1
19,170,-40,iNaturalist,1
20,170,-40,iNaturalist,1
21,170,-40,iNaturalist,1
22,170,-40,iNaturalist,1
23,170,-40,iNaturalist,1
24,170,-40,iNaturalist,1
25,170,-40,iNaturalist,1
26,170,-40,iNaturalist,1
27,170,-40,iNaturalist,1
28,170,-40,iNaturalist,1
29,170,-40,iNaturalist,1
30,170,-40,iNaturalist,1
31,170,-40,iNaturalist,1
32,170,-40,iNaturalist,1
33,170,-40,iNaturalist,1
34,170,-40,iNaturalist,1
35,170,-40,iNaturalist,1
36,170,-40,iNaturalist,1
37,170,-40,iNaturalist,1
38,170,-40,iNaturalist,1
39,170,-40,iNaturalist,1
40,170,-40,iNaturalist,1
41,170,-40,iNaturalist,1
42,170,-40,iNaturalist,1
43,170,-40,iNaturalist,1
44,170,-40,iNaturalist,1
45,170,-40,iNaturalist,1
46,170,-40,iNaturalist,1
47,170,-40,iNaturalist,1
48,170,-40,iNaturalist,1
49,170,-40,iNaturalist,1
50,170,-40,iNaturalist,1
51,170,-40,iNaturalist,1
52,170,-40,iNaturalist,1
53,170,-40,iNaturalist,1
54,170,-40,iNaturalist,1
55,170,-40,iNaturalist,1
56,170,-40,iNaturalist,1
57,170,-40,iNaturalist,1
58,170,-40,iNaturalist,1
59,170,-40,ColanBalkwillPhd,1
60,170,-40,ColanBalkwillPhd,1
61,170,-40,ColanBalkwillPhd,1
62,170,-40,ColanBalkwillPhd,1
63,170,-40,ColanBalkwillPhd,1
64,170,-40,ColanBalkwillPhd,1
65,170,-40,ColanBalkwillPhd,1
66,170,-40,ColanBalkwillPhd,1
67,170,-40,ColanBalkwillPhd,1
68,170,-40,ColanBalkwillPhd,1
69,170,-40,ColanBalkwillPhd,1
70,170,-40,ColanBalkwillPhd,1
71,170,-40,ColanBalkwillPhd,1
72,170,-40,ColanBalkwillPhd,1
73,170,-40,ColanBalkwillPhd,1
74,170,-40,ColanBalkwillPhd,1
75,170,-40,ColanBalkwillPhd,1
76,170,-40,ColanBalkwillPhd,1
77,170,-40,ColanBalkwillPhd,1
78,170,-40,ColanBalkwillPhd,1
79,170,-40,ColanBalkwillPhd,1
80,170,-40,ColanBalkwillPhd,1
81,170,-40,ColanBalkwillPhd,1
82,170,-40,ColanBalkwillPhd,1
83,170,-40,ColanBalkwillPhd,1
84,170,-40,ColanBalkwillPhd,1
85,170,-40,ColanBalkwillPhd,1
86,170,-40,ColanBalkwillPhd,1
87,170,-40,ColanBalkwillPhd,1
88,170,-40,ColanBalkwillPhd,1
89,170,-40,ColanBalkwillPhd,1
90,170,-40,ColanBalkwillPhd,1
91,170,-40,ColanBalkwillPhd,1
92,170,-40,ColanBalkwillPhd,1
93,170,-40,ColanBalkwillPhd,1
94,170,-40,ColanBalkwillPhd,1
95,170,-40,ColanBalkwillPhd,1
96,170,-40,ColanBalkwillPhd,1
97,170,-40,ColanBalkwillPhd,1
98,170,-40,ColanBalkwillPhd,1
99,170,-40,ColanBalkwillPhd,1
100,170,-40,ColanBalkwillPhd,1
101,170,-40,ColanBalkwillPhd,1
102,170,-40,ColanBalkwillPhd,1
103,170,-40,ColanBalkwillPhd,1
104,170,-40,ColanBalkwillPhd,1
105,170,-40,ColanBalkwillPhd,1
106,170,-40,ColanBalkwillPhd,1
107,170,-40,ColanBalkwillPhd,1
108,170,-40,ColanBalkwillPhd,1
109,170,-40,ColanBalkwillPhd,1
110,170,-40,ColanBalkwillPhd,1
111,170,-40,ColanBalkwillPhd,1
112,170,-40,ColanBalkwillPhd,1
113,170,-40,ColanBalkwillPhd,1
114,170,-40,ColanBalkwillPhd,1
115,170,-40,ColanBalkwillPhd,1
116,170,-40,ColanBalkwillPhd,1
117,170,-40,ColanBalkwillPhd,1
118,170,-40,ColanBalkwillPhd,1
119,170,-40,ColanBalkwillPhd,1
120,170,-40,ColanBalkwillPhd,1
121,170,-40,ColanBalkwillPhd,1
122,170,-40,ColanBalkwillPhd,1
123,170,-40,ColanBalkwillPhd,1
124,170,-40,ColanBalkwillPhd,1
125,170,-40,ColanBalkwillPhd,1
126,170,-40,ColanBalkwillPhd,1
127,170,-40,ColanBalkwillPhd,1
128,170,-40,ColanBalkwillPhd,1
129,170,-40,ColanBalkwillPhd,1
130,170,-40,ColanBalkwillPhd,1
131,170,-40,ColanBalkwillPhd,1
132,170,-40,ColanBalkwillPhd,1
133,170,-40,ColanBalkwillPhd,1
134,170,-40,ColanBalkwillPhd,1
135,170,-40,ColanBalkwillPhd,1
136,170,-40,ColanBalkwillPhd,1
137,170,-40,ColanBalkwillPhd,1
138,170,-40,ColanBalkwillPhd,1
139,170,-40,ColanBalkwillPhd,1
